Lfd. Nummer,Version,Bauteilnamen,Bauteilkategorie,Hersteller,Typ,Eigenschaft 1,Wert 1,Eigenschaft 2,Wert 2,Eigenschaft 3,Wert 3,Ablageort konstruktiv,Ablageort steuerungstechnisch,Ablageort prüftechnisch,Ablageort robotertechnisch,Sonstiges:,Spalte1
200000,0,KR 6 R900-2,Roboter,KUKA,KR 6 R900-2,Traglast [kg],6.00,Reichweite [mm],900,Eigengewicht [kg],55,DIS: IAM 3016887,"V:\BMB\Team\ST\WSCAD Electrix Rocket\Libraries\KUKA\KR6
V:\BMB\Team\ST\Dokumente\01 Beschreibungen\KUKA\KR6",-,,Datenblatt/Read Me,
200003,0,Verbindungskabel KUKA - SPS 10m,Roboterequipment (KUKA),KUKA,SPP Verbindungskabel 5m,Länge [m],5.00,-,-,-,-,-,-,-,-,Datenblatt,
200004,0,PROFINET für KUKA,Robotersoftware (KUKA),KUKA,KUKA.PRFINET -/S 6.0,Protokoll,PROFINET,-,-,-,-,-,-,-,-,Read Me,
200005,0,Werkzeugsteuerung KUKA,Robotersoftware (KUKA),KUKA,KUKA.GripperSpotTech 5.0,-,,-,-,-,-,-,-,-,-,Read Me,
200006,0,Anschlusspaket SPS-KUKA,Roboterequipment (KUKA),KUKA,,Länge [m],,-,-,-,-,-,-,-,-,Read Me,
200007,0,KUKA Hauptprogramm,Robotersoftware (KUKA),DEHN - ST,cell_src,Ansprechpartner,KIH/DAA,Software,WorkVisual,-,,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
200008,0,KUKA_EA_Fred 11 Pal_Rob,Roboterdokumente (KUKA),DEHN - ST,Profinet I/O-Tabelle,Ansprechpartner,KIH/DAA,-,-,-,-,-,-,-,V:\BMB\Team\VORR\1040855 - FRED 3038260\ST\KUKA\04 Rob,Read Me,
200009,0,SPS Bib - DMC-Code auswerten,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam DMC,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
200010,0,SPS Bib- Etikett Typ erkennen,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam Etik,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
200011,0,SPS Bib - Versatz für Etikett,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Kam Versatz,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
200012,0,SPS Bib - Etikettieren Rob Datenaustausch,SPS-Baustein (SIEMENS),DEHN - ST,FC Etik Rob Datenaustausch,Ansprechpartner,KIH/THP/NBR/...,Version,V18 Upd.3,Bibliothekskonformität,Ja,-,V:\BMB\Team\ST\TIA Bibliotheken\V18\ST_Favoriten_V18,-,-,Read Me,
200013,0,Job Etikett-versetzen/Versatz ermitteln,Job (SensoPart),DEHN - ST,Job Etikett_versetzen,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
200014,0,Job DMC-Code lesen,Job (SensoPart),DEHN - ST,Job DMC_Code lesen,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
200015,0,Job EtikettTyp erkennen,Job (SensoPart),DEHN - ST,Job_EtikettTyp,Ansprechpartner,KIH/HAC/NBR,Version,2.8.2.1,Bibliothekskonformität,Ja,-,S:\D+S\Collaboration\Kamerapruefung\Programme etc\Job_Fred,-,-,Read Me,
